id,title,description,price,store_price,threshold,progress,completed,image
,Bluetooth Wireless Headset,,1500,2700,150,125,FALSE,
,Magnetic Case For IPhone,,630,1800,530,500,FALSE,
,Compression T-Shirt,,3250,5600,200,167,FALSE,
,Pure Sine Wave Inverter,,11625.5,27300,150,145,FALSE,
,Samsung S34 Ultra Phone,,17500,48030,100,90,FALSE,
,Smart Watch,,10652,17300,35,28,FALSE,
,Xiaomi Air Humidifier,,17000,22000,12,7,FALSE,
,Men's Wallet: Pure Leather,,,,90,85,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
,,,,,,,FALSE,
